nom,num_doc,role
403244,1390.0,Éditeur intellectuel
2548,1391.0,
222983,1391.0,
403244,1391.0,
2548,1392.0,
268630,1393.0,
26779,1394.0,Éditeur intellectuel
66909,1395.0,
215952,1396.0,
27026,1397.0,
240809,1398.0,
40303,1398.0,
265638,1399.0,
247456,1400.0,
265638,1400.0,
268646,1401.0,
265638,1401.0,
64362,1402.0,
176763,1404.0,
167253,1405.0,
178292,1406.0,
179631,1407.0,
247749,1408.0,
275964,1409.0,
289303,1410.0,
268631,1411.0,
4720,1412.0,
364639,1413.0,
221788,1414.0,
253431,1415.0,
365560,1416.0,
274869,1417.0,
63186,1418.0,
140232,1418.0,Traducteur
13641,1419.0,
275637,1421.0,
265543,1424.0,
250614,1425.0,
30701,1426.0,
274817,1427.0,
243744,1428.0,
243745,1428.0,
243746,1428.0,
176300,1429.0,
79937,1430.0,
75086,1431.0,
229371,1432.0,
164930,1433.0,
250336,1434.0,
250457,1434.0,
271909,1435.0,
274358,1436.0,
144504,1437.0,
201105,1437.0,
250614,1438.0,
265642,1439.0,
00014391,1440.0,
265543,1441.0,
265217,1442.0,
253884,1443.0,
396117,1444.0,
396117,1445.0,
209971,1446.0,
209971,1447.0,
209971,1448.0,
209971,1449.0,
209971,1450.0,
209971,1451.0,
209971,1452.0,
209971,1453.0,
209971,1454.0,
209971,1455.0,
209971,1456.0,
209971,1457.0,
209971,1458.0,
209971,1459.0,
209971,1460.0,
209971,1461.0,
209971,1462.0,
209971,1463.0,
209971,1464.0,
209971,1465.0,
209971,1466.0,
298614,1467.0,
298614,1468.0,
298614,1469.0,
298614,1470.0,
298614,1471.0,
298614,1472.0,
298614,1473.0,
298614,1474.0,
298614,1475.0,
298614,1476.0,
298614,1477.0,
298614,1478.0,
298614,1479.0,
298614,1480.0,
298614,1481.0,
298614,1482.0,
298614,1483.0,
246482,1484.0,
298614,1485.0,
298614,1486.0,
298614,1487.0,
298614,1488.0,
298614,1489.0,
298614,1490.0,
298614,1491.0,
298614,1492.0,
298614,1493.0,
298614,1494.0,
298614,1495.0,
298614,1496.0,
298614,1497.0,
240817,1499.0,
240814,1499.0,Traducteur
216569,1500.0,
49105,1501.0,
256604,1502.0,
46654,1503.0,
47031,1504.0,
256356,1505.0,
2417,1506.0,
145564,1506.0,
4461,1507.0,
48289,1507.0,
46264,1507.0,
46271,1507.0,
24712,1508.0,
00015081,1509.0,
256356,1510.0,
282180,1511.0,
350641,1512.0,
227647,1513.0,
176668,1513.0,Contributeur
176553,1513.0,Contributeur
35331,1515.0,
229168,1516.0,
24997,1517.0,
31868,1518.0,Éditeur intellectuel
31056,1518.0,Éditeur intellectuel
31056,1519.0,
26222,1519.0,
30534,1520.0,
